lib	scope	class	typemark	name	category	3.0	3.1	3.2	3.3	3.4	4.0	4.1	pattern	first_present
rubygems/commands/update_command	stdlib	Gem::Commands::UpdateCommand	#	do_rubygems_update	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/commands/which_command	stdlib	Gem::Commands::WhichCommand	#	gem_paths	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/config_file	stdlib	Gem::ConfigFile	#	benchmark	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/config_file	stdlib	Gem::ConfigFile	#	benchmark=	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/defaults	stdlib	Gem	.	default_system_source_cache_dir	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/defaults	stdlib	Gem	.	default_user_source_cache_dir	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/dependency	stdlib	Gem::Dependency	#	version_requirements	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/dependency	stdlib	Gem::Dependency	#	version_requirements=	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/dependency_installer	stdlib	Gem::DependencyInstaller	#	find_gems_with_sources	no-method	o	o	o	o	o	X	X	new-only	3.0
rubygems/dependency_installer	stdlib	Gem::DependencyInstaller	#	find_spec_by_name_and_version	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/dependency_installer	stdlib	Gem::DependencyInstaller	#	gather_dependencies	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/dependency_installer	stdlib	Gem::DependencyInstaller	#	gems_to_install	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/dependency_list	stdlib	Gem::DependencyList	.	from_source_index	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/ext/builder	stdlib	Gem::Ext::Builder	.	redirector	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/indexer	stdlib	Gem::Indexer	#	abbreviate	no-method	X	X	X	-	-	-	-	all	3.0
rubygems/indexer	stdlib	Gem::Indexer	#	collect_specs	no-method	X	X	X	-	-	-	-	all	3.0
rubygems/indexer	stdlib	Gem::Indexer	#	sanitize	no-method	X	X	X	-	-	-	-	all	3.0
rubygems/indexer	stdlib	Gem::Indexer	#	sanitize_string	no-method	X	X	X	-	-	-	-	all	3.0
rubygems/installer	stdlib	Gem::Installer	#	unpack	no-method	o	o	o	o	o	X	X	new-only	3.0
rubygems/installer	stdlib	Gem::Installer	.	home_install_warning	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/installer	stdlib	Gem::Installer	.	home_install_warning=	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/installer	stdlib	Gem::Installer	.	path_warning	no-method	o	o	o	o	X	X	X	new-only	3.0
rubygems/installer	stdlib	Gem::Installer	.	path_warning=	no-method	o	o	o	o	X	X	X	new-only	3.0
rubygems/package	stdlib	Gem::FileOperations	.	new	no-class	X	X	X	X	X	X	X	all	3.0
rubygems/package	stdlib	Gem::Package	.	pack	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/platform	stdlib	Gem::Platform	.	match	no-method	o	o	o	o	o	X	X	new-only	3.0
rubygems/security	stdlib	Gem::Security	.	add_trusted_cert	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/security	stdlib	Gem::Security	.	build_cert	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/security	stdlib	Gem::Security	.	build_self_signed_cert	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/security	stdlib	Gem::Security	.	sign_cert	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/security	stdlib	Gem::Security	.	verify_trust_dir	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/security	stdlib	Gem::Security::Policy	#	verify_gem	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/security	stdlib	Gem::Security::Policy	.	trusted_cert_path	no-method	X	X	X	X	X	X	X	all	3.0
rubygems/server	stdlib	Gem::Server	#	Marshal	no-method	X	-	-	-	-	-	-	all	3.0
rubygems/server	stdlib	Gem::Server	#	yaml	no-method	X	-	-	-	-	-	-	all	3.0
