bucket	lib	class	type	name	3.03.13.23.33.44.0
always-ng	prism	Prism::Node	#	copy	---XXX
always-ng	prism	Prism::Node	#	deconstruct_keys	---XXX
always-ng	pstore	PStore::DummyMutex	#	synchronize	CCCCCC
always-ng	psych	Kernel	#	y	XXXXXX
always-ng	rake	Kernel	#	desc	XXXXXX
always-ng	rake	Kernel	#	directory	XXXXXX
always-ng	rake	Kernel	#	file	XXXXXX
always-ng	rake	Kernel	#	file_create	XXXXXX
always-ng	rake	Kernel	#	import	XXXXXX
always-ng	rake	Kernel	#	multitask	XXXXXX
always-ng	rake	Kernel	#	namespace	XXXXXX
always-ng	rake	Kernel	#	rule	XXXXXX
always-ng	rake	Kernel	#	task	XXXXXX
always-ng	rake	Rake::Cloneable	#	clone	XXXXXX
always-ng	rake	Rake::Cloneable	#	dup	XXXXXX
always-ng	rake	Rake::TaskManager	#	last_comment	XXXXXX
always-ng	resolv-replace	SOCKSSocket	.	new	CCCCCC
always-ng	rexml/document	REXML::Formatters::Transitive	.	new	CCCCCC
always-ng	ripper/filter	Ripper::Filter	#	on_XXX	XXXXXX
always-ng	rss	DublinCoreModel	#	dc_contributor	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_contributor=	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_contributors	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_coverage	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_coverage=	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_coverages	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_creator	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_creator=	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_creators	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_date	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_date=	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_dates	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_description	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_description=	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_descriptions	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_format	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_format=	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_formats	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_identifier	CCCCCC
always-ng	rss	DublinCoreModel	#	dc_identifier=	CCCCCC
