name	verdict	where
rubygems/package	yes	lib
rubygems/package/f_sync_dir	no	none
rubygems/package/tar_header	yes	lib
rubygems/package/tar_input	no	none
rubygems/package/tar_output	no	none
rubygems/package/tar_reader	yes	lib
rubygems/package/tar_reader/entry	yes	lib
rubygems/package/tar_writer	yes	lib
rubygems/platform	yes	lib
rubygems/remote_fetcher	yes	lib
rubygems/require_paths_builder	no	none
rubygems/requirement	yes	lib
rubygems/security	yes	lib
rubygems/source_index	no	none
rubygems/source_info_cache	no	none
rubygems/source_info_cache_entry	no	none
rubygems/spec_fetcher	yes	lib
rubygems/specification	yes	lib
rubygems/test_utilities	no	none
rubygems/timer	no	none
rubygems/uninstaller	yes	lib
rubygems/user_interaction	yes	lib
rubygems/validator	yes	lib
rubygems/version	yes	lib
rubygems/version_option	yes	lib
securerandom	yes	lib
shellwords	yes	lib
singleton	yes	lib
socket	yes	ext
stringio	yes	ext
strscan	yes	ext
syslog	yes	gem:syslog@v0.4.0
syslog/logger	yes	gem:syslog@v0.4.0
tempfile	yes	lib
test/unit	yes	gem:test-unit@3.7.8(bare-version)
thread	no	none
time	yes	lib
timeout	yes	lib
tmpdir	yes	lib
tsort	yes	gem:tsort@v0.2.0
un	yes	lib
uri	yes	lib
weakref	yes	lib
win32/registry	yes	gem:win32-registry@v0.1.2
win32/resolv	yes	ext
win32ole	yes	gem:win32ole@v1.9.3
xmlrpc	no	none
yaml	yes	lib
yaml/dbm	yes	lib
yaml/store	yes	lib
zlib	yes	ext
