#class	1.8.6	1.8.7	1.9.1	1.9.2	1.9.3	2.0.0	2.1	2.2	2.3	2.4	2.5	2.6	2.7	3.0	3.1	3.2	3.3	3.4	4.0	first	last	superclass
Enumerator::ArithmeticSequence	-	-	-	-	-	-	-	-	-	-	-	class	class	class	class	class	class	class	class	2.6	4.0	Enumerator
Enumerator::Chain	-	-	-	-	-	-	-	-	-	-	-	class	class	class	class	class	class	class	class	2.6	4.0	Enumerator
Enumerator::Generator	-	-	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.9.1	4.0	Object
Enumerator::Lazy	-	-	-	-	-	class	class	class	class	class	class	class	class	class	class	class	class	class	class	2.0.0	4.0	Enumerator
Enumerator::Producer	-	-	-	-	-	-	-	-	-	-	-	-	class	class	class	class	class	class	class	2.7	4.0	Object
Enumerator::Product	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	class	class	class	class	3.2	4.0	Enumerator
Enumerator::Yielder	-	-	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.9.1	4.0	Object
Errno	module	module	module	module	module	module	module	module	module	module	module	module	module	module	module	module	module	module	module	1.8.6	4.0	-
Errno::E2BIG	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	SystemCallError
Errno::EACCES	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	SystemCallError
Errno::EADDRINUSE	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	SystemCallError
Errno::EADDRNOTAVAIL	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	SystemCallError
Errno::EADV	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	SystemCallError
Errno::EAFNOSUPPORT	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	SystemCallError
Errno::EAGAIN	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	SystemCallError
Errno::EALREADY	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	SystemCallError
Errno::EBADE	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	SystemCallError
Errno::EBADF	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	SystemCallError
Errno::EBADFD	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	SystemCallError
Errno::EBADMSG	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	SystemCallError
Errno::EBADR	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	SystemCallError
Errno::EBADRQC	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	SystemCallError
Errno::EBADSLT	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	SystemCallError
Errno::EBFONT	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	SystemCallError
Errno::EBUSY	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	SystemCallError
Errno::ECANCELED	-	-	-	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.9.2	4.0	SystemCallError
Errno::ECHILD	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	SystemCallError
Errno::ECHRNG	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	SystemCallError
Errno::ECOMM	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	SystemCallError
Errno::ECONNABORTED	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	SystemCallError
Errno::ECONNREFUSED	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	class	1.8.6	4.0	SystemCallError
